Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-09-28;1.026,91;1.027,34;1.010,04;1.013,42;;
2015-09-25;1.032,71;1.032,71;1.023,25;1.027,81;;
2015-09-24;1.005,71;1.029;1.005,64;1.026,77;;
2015-09-23;1.008,21;1.017,21;1.006,3;1.013,59;;
2015-09-22;1.016,02;1.018,68;1.005,35;1.008,31;;
2015-09-21;1.011,82;1.013,26;1.004,94;1.007,55;;
2015-09-18;990,3056;999,8073;987,5471;997,7231;;
2015-09-17;989,5774;1.002,64;986,1917;1.000,28;;
2015-09-16;984,5476;1.001,28;983,3096;997,1055;;
2015-09-15;979,1078;980,1413;974,1608;976,3339;;
2015-09-14;978,6112;982,3706;976,2406;981,0438;;
2015-09-11;986,0756;987,6997;975,2219;983,1647;;
2015-09-10;989,1909;996,7367;987,3134;993,1515;;
2015-09-09;1.007,23;1.010,4;989,1462;994,5237;;
2015-09-08;1.002,46;1.009,47;1.002,44;1.004,89;;
2015-09-07;1.003,41;1.009,22;1.001,8;1.004,17;;
2015-09-04;1.010,32;1.014,64;1.003,19;1.007,41;;
2015-09-03;1.009,89;1.010,27;999,3588;1.002,18;;
2015-09-02;1.012,71;1.015,1;1.006,07;1.007,59;;
2015-09-01;1.010,18;1.021,54;1.009,81;1.014,84;;
2015-08-31;1.007,55;1.013,57;1.003,97;1.011,95;;
2015-08-28;998,9439;1.012,43;997,5595;1.006,08;;
2015-08-27;997,8465;1.000,73;991,2797;996,9248;;
2015-08-26;1.000,22;1.005,46;980,6174;986,8532;;
2015-08-25;1.004,31;1.005,24;986,3723;991,361;;
2015-08-24;1.009,01;1.017,65;997,8081;1.004,71;;
2015-08-21;1.022,54;1.035,7;1.018,69;1.028,76;;
2015-08-20;1.013,9;1.031,99;1.012,99;1.031,14;;
2015-08-19;1.012,55;1.027,72;1.011,22;1.027,06;;
2015-08-18;1.010,64;1.013,76;1.003,45;1.010,61;;
2015-08-17;1.004,05;1.011,59;1.003,88;1.006,86;;
2015-08-14;998,3976;1.003,61;995,4346;998,0485;;
2015-08-13;1.013,51;1.014,15;1.002,6;1.003,89;;
2015-08-12;994,0117;1.008,97;987,9874;1.007,91;;
2015-08-11;999,0321;1.012,32;989,8598;1.003,15;;
2015-08-10;995,3467;1.011,85;994,9088;1.007,77;;
2015-08-07;995,7499;1.004,97;990,0009;1.000,06;;
2015-08-06;996,7386;1.005,02;995,6178;1.001,08;;
2015-08-05;999,5498;1.003,51;995,2035;997,0413;;
2015-08-04;988,0616;997,5759;985,3003;991,2513;;
2015-08-03;1.000,58;1.000,58;1.000,58;1.000,58;;
2015-07-31;992,6598;1.006,26;984,9457;999,1246;;
2015-07-30;1.001,52;1.002,93;988,3615;993,7198;;
2015-07-29;992,9284;998,5675;988,767;994,7235;;
2015-07-28;993,2154;996,5805;990,2585;993,542;;
2015-07-27;992,1686;999,3941;984,8888;989,2205;;
2015-07-24;997,0381;1.005,93;985,0718;1.004,87;;
2015-07-23;995,3268;1.005,39;988,6262;991,5992;;
2015-07-22;1.009,79;1.012,24;997,3675;1.003,78;;
2015-07-21;1.011,27;1.020,78;1.009,62;1.013,24;;
2015-07-20;1.043,58;1.044,09;999,3089;1.010,63;;
2015-07-17;1.052,07;1.052,31;1.038,97;1.041,9;;
2015-07-16;1.056,36;1.057,85;1.051,56;1.053,98;;
2015-07-15;1.049,4;1.050,9;1.038,76;1.044,18;;
2015-07-14;1.049,67;1.051,18;1.045,35;1.048,38;;
2015-07-13;1.053,24;1.053,6;1.042,03;1.048,06;;
2015-07-10;1.037,06;1.041,84;1.035,36;1.040,21;;
2015-07-09;1.048,09;1.056,34;1.045,95;1.048,77;;
2015-07-08;1.047,9;1.056,59;1.040,79;1.050,62;;
2015-07-07;1.070,59;1.070,83;1.050,69;1.056,79;;
2015-07-06;1.066,84;1.067,45;1.056,46;1.063,1;;
2015-07-03;1.050,96;1.054,57;1.049,78;1.053,45;;
2015-07-02;1.056,17;1.056,5;1.045,84;1.053,98;;
2015-07-01;1.056,92;1.058,71;1.052,08;1.052,78;;
2015-06-30;1.055,08;1.055,15;1.043,08;1.047,65;;
2015-06-29;1.055,67;1.055,67;1.055,67;1.055,67;;
2015-06-26;1.047,46;1.052,2;1.043,57;1.049,17;;
2015-06-25;1.048,8;1.051,37;1.045,97;1.047,04;;
2015-06-24;1.050,89;1.052,58;1.044,51;1.048,09;;
2015-06-23;1.058,41;1.060,44;1.049,95;1.051,58;;
2015-06-22;1.057,28;1.057,86;1.042,14;1.045,02;;
2015-06-19;1.063,71;1.065,79;1.060,81;1.062,27;;
2015-06-18;1.039,57;1.057,19;1.038,04;1.053,56;;
2015-06-17;1.047,76;1.054,45;1.041,52;1.050,94;;
2015-06-16;1.057,44;1.059,28;1.048,81;1.053,76;;
2015-06-15;1.053,28;1.053,28;1.053,28;1.053,28;;
2015-06-12;1.053,45;1.055,52;1.049,44;1.053,09;;
2015-06-11;1.056,3;1.057,72;1.047,02;1.052,57;;
2015-06-10;1.043,31;1.057,21;1.042,17;1.051,38;;
2015-06-09;1.043,71;1.051,69;1.042,45;1.045,96;;
2015-06-08;1.049,81;1.049,81;1.049,81;1.049,81;;
2015-06-05;1.049,35;1.050,65;1.036,64;1.044,57;;
2015-06-04;1.047,36;1.048,26;1.036,55;1.040,05;;
2015-06-03;1.072,01;1.073,71;1.060,56;1.064,9;;
2015-06-02;1.078,24;1.084,65;1.075,45;1.082;;
2015-06-01;1.087,65;1.087,65;1.087,65;1.087,65;;
2015-05-29;1.083,18;1.087,92;1.081,16;1.085,07;;
2015-05-28;1.090,14;1.094,22;1.083,9;1.090,66;;
2015-05-27;1.093,11;1.096,35;1.089,83;1.093,64;;
2015-05-26;1.104,64;1.105,26;1.085,18;1.086,71;;
2015-05-25;1.098,84;1.098,84;1.098,84;1.098,84;;
2015-05-22;1.080,71;1.088,28;1.076,53;1.080,53;;
2015-05-21;1.086,78;1.089,41;1.079,63;1.083,68;;
2015-05-20;1.086,53;1.091,19;1.082,43;1.088,09;;
2015-05-19;1.096,39;1.096,39;1.078,67;1.080,79;;
2015-05-18;1.074,84;1.074,84;1.074,84;1.074,84;;
2015-05-15;1.078,09;1.082,51;1.069,25;1.080,62;;
2015-05-14;1.064,65;1.074,78;1.061,84;1.069,64;;
2015-05-13;1.063,68;1.086,29;1.061,77;1.083,04;;
2015-05-12;1.053,2;1.064,91;1.050,96;1.061,83;;
2015-05-11;1.066,73;1.066,73;1.066,73;1.066,72;;
2015-05-08;1.055,81;1.063,57;1.053,58;1.059,21;;
2015-05-07;1.054,31;1.055,22;1.043,29;1.048;;
2015-05-06;1.062,48;1.066,58;1.058,41;1.061,32;;
2015-05-05;1.068,99;1.079,15;1.066,89;1.073,47;;
2015-05-04;1.056,68;1.056,68;1.056,68;1.056,68;;
2015-04-30;1.074,63;1.076,5;1.049,66;1.056,04;;
2015-04-29;1.101,57;1.103,03;1.092,28;1.095,06;;
2015-04-28;1.100,55;1.112,06;1.097,69;1.109,21;;
2015-04-27;1.089,95;1.089,95;1.089,95;1.089,94;;
2015-04-24;1.103,17;1.104,86;1.085,87;1.089,74;;
2015-04-23;1.102,52;1.112,19;1.099,58;1.108,48;;
2015-04-22;1.119,71;1.121,5;1.104,04;1.105,33;;
2015-04-21;1.118,79;1.125,36;1.115,48;1.123,88;;
2015-04-20;1.124,08;1.127,65;1.111,16;1.115,61;;
2015-04-17;1.108,7;1.116,77;1.107,4;1.113,57;;
2015-04-16;1.122,7;1.128,91;1.115,72;1.118,96;;
2015-04-15;1.127,42;1.138,8;1.124,01;1.136,4;;
2015-04-14;1.134,99;1.137,45;1.120,9;1.128,89;;
2015-04-13;1.144,28;1.144,28;1.144,28;1.144,28;;
2015-04-10;1.129,95;1.145,17;1.129,08;1.142,33;;
2015-04-09;1.116,54;1.129,84;1.107,25;1.108,81;;
2015-04-08;1.113,09;1.120,69;1.102,69;1.107,26;;
2015-04-07;1.119,91;1.122,24;1.113,33;1.114,13;;
2015-04-02;1.111,97;1.114,86;1.103,8;1.110,62;;
2015-04-01;1.100,6;1.123,8;1.098,13;1.119,58;0;0
2015-03-31;1.102,46;1.106,85;1.095,64;1.103,56;;
2015-03-30;1.105,43;1.105,43;1.105,43;1.105,44;;
2015-03-27;1.109,62;1.111,13;1.098,75;1.104,32;;
2015-03-26;1.089,27;1.111,46;1.088,7;1.097,58;;
2015-03-25;1.085,63;1.090,97;1.080,52;1.088,08;;
2015-03-24;1.086,63;1.091,43;1.082,71;1.088,98;;
2015-03-23;1.083,7;1.083,7;1.083,7;1.083,7;;
2015-03-20;1.086,99;1.102,28;1.084,83;1.097,37;;
2015-03-19;1.094,12;1.103,22;1.086,63;1.096,97;;
2015-03-18;1.085,29;1.108,99;1.082,05;1.102,94;;
2015-03-17;1.085,9;1.090,24;1.075,01;1.081,13;;
2015-03-16;1.096,64;1.096,64;1.096,64;1.096,64;;
2015-03-13;1.091,43;1.098,88;1.089,31;1.095,08;;
2015-03-12;1.088,53;1.099,24;1.082,65;1.087,25;;
2015-03-11;1.099,14;1.101,61;1.084,94;1.092,19;;
2015-03-10;1.087,36;1.090,13;1.076,32;1.082,75;;
2015-03-09;1.075,24;1.075,24;1.075,24;1.075,24;;
2015-03-06;1.092,86;1.096,9;1.061,66;1.065,14;;
2015-03-05;1.084,72;1.089,59;1.082,39;1.082,51;;
2015-03-04;1.082,35;1.086,78;1.077,39;1.079,59;;
2015-03-03;1.080,15;1.087,68;1.070,54;1.078,35;;
2015-03-02;1.080,58;1.080,58;1.080,58;1.080,58;;
2015-02-27;1.075,55;1.084,82;1.071,82;1.079,33;;
2015-02-26;1.064,31;1.078,06;1.063,68;1.068,68;;
2015-02-25;1.062,04;1.062,38;1.061,37;1.061,43;;
2015-02-23;1.064,19;1.064,19;1.064,19;1.064,19;;
2015-02-20;1.069,13;1.075,29;1.060,8;1.064,19;;
2015-02-19;1.065,09;1.073,92;1.058,69;1.060,27;;
2015-02-18;1.063,55;1.067,21;1.053,85;1.066,78;;
2015-02-17;1.078,34;1.081,03;1.054,67;1.059,72;;
2015-02-16;1.077,86;1.077,86;1.077,86;1.077,86;;
2015-02-13;1.074,85;1.085,15;1.074,68;1.080,42;;
2015-02-12;1.076,18;1.088,3;1.075,5;1.079,04;;
2015-02-11;1.090,9;1.094,87;1.075,57;1.076,74;;
2015-02-10;1.096,06;1.102,89;1.089,77;1.092,1;;
2015-02-09;1.094,40;1.094,40;1.094,40;1.094,39;;
2015-02-06;1.105,48;1.108,45;1.076,53;1.077,95;;
2015-02-05;1.113,02;1.116,7;1.103,43;1.108,03;;
2015-02-04;1.101,54;1.111,28;1.098,1;1.108,77;;
2015-02-03;1.121,04;1.129,72;1.103,74;1.108,1;;
2015-02-02;1.135,08;1.135,08;1.135,08;1.135,08;;
2015-01-30;1.113,14;1.136,43;1.112,38;1.135,58;;
2015-01-29;1.134,42;1.136,49;1.106,73;1.112,2;;
2015-01-28;1.139,21;1.140,43;1.128,28;1.131,44;;
2015-01-27;1.131,5;1.147,6;1.129,73;1.143,38;;
2015-01-26;1.151,08;1.151,08;1.151,08;1.151,07;;
2015-01-23;1.162,88;1.162,88;1.147,29;1.155,8;;
2015-01-22;1.113,43;1.124,6;1.104,81;1.120,31;;
2015-01-21;1.116,98;1.125,76;1.108,91;1.115,45;;
2015-01-20;1.102,2;1.120,17;1.100,44;1.117,73;;
2015-01-19;1.100,92;1.102,03;1.096,55;1.099,24;;
2015-01-16;1.089,74;1.106,4;1.083,19;1.104,98;;
2015-01-15;1.049,8;1.081,94;1.047,41;1.078,49;;
2015-01-14;1.045,43;1.056,69;1.040,61;1.043,69;;
2015-01-13;1.046,77;1.055,87;1.041,91;1.044,76;;
2015-01-12;1.035,87;1.035,87;1.035,87;1.035,87;;
2015-01-09;1.023,25;1.035,98;1.022,19;1.035,08;;
2015-01-08;1.029,15;1.033,74;1.023,96;1.027,21;;
2015-01-07;1.030,27;1.030,27;1.022,01;1.023,73;;
2015-01-06;1.009,49;1.026,62;1.008,76;1.022,98;;
2015-01-05;997,7759;997,7759;997,7759;997,7759;;
2014-12-31;983,0245;984,9518;983,0245;984,9559;;
2014-12-30;981,4885;983,4128;981,4885;983,4169;;
2014-12-29;980,61;980,61;980,61;980,61;;
2014-12-24;962,7711;966,7158;960,054;961,8954;;
2014-12-23;962,9166;970,2612;960,2718;964,0793;;
2014-12-22;975,4466;975,4466;975,4466;975,4467;;
2014-12-19;975,8124;978,4429;972,2942;973,8578;;
2014-12-18;968,1563;988,0993;967,4562;975,466;;
2014-12-17;960,1703;966,356;951,0283;955,1816;;
2014-12-16;952,9233;975,8156;947,5233;953,2185;;
2014-12-15;983,945;983,945;983,945;983,945;;
2014-12-12;986,4016;986,5462;975,494;982,0482;;
2014-12-11;986,2005;991,9054;978,6611;987,0776;;
2014-12-10;993,3021;999,2979;988,428;988,9202;;
2014-12-09;973,2396;1.001,16;969,7469;995,4645;;
2014-12-08;972,5975;972,5975;972,5975;972,6015;;
2014-12-05;975,4651;976,7352;959,8123;964,4192;;
2014-12-04;981,9592;985,6226;975,9971;979,4249;;
2014-12-03;971,1297;984,908;968,8671;980,7964;;
2014-12-02;975,5393;976,2556;945,0258;964,3835;;
2014-12-01;937,4449;937,4449;937,4449;937,4409;;
2014-11-28;952,223;957,366;933,7018;936,3895;;
2014-11-27;961,1538;961,3301;950,2965;952,8646;;
2014-11-25;966,5486;968,3194;958,2985;968,1262;;
2014-11-21;961,3991;972,2347;955,4903;967,2315;;
2014-11-20;943,7036;954,7731;938,6315;951,8103;;
2014-11-19;954,5672;959,1464;938,1412;943,566;;
2014-11-18;947,9703;962,3462;945,8287;956,8563;;
2014-11-17;951,3524;951,3524;951,3524;951,3485;;
2014-11-14;935,2123;959,7218;922,3705;955,9384;;
2014-11-13;932,8597;937,7248;926,6538;933,4618;;
2014-11-12;934,2665;938,63;928,5073;932,6221;;
2014-11-11;927,7608;944,2933;922,6739;936,856;;
2014-11-10;943,2645;943,2645;943,2645;943,2605;;
2014-11-07;921,0926;951,1579;913,6367;950,3389;;
2014-11-06;912,0077;918,4309;909,3952;912,5109;;
2014-11-05;936,5385;937,2997;911,7949;913,8141;;
2014-11-04;931,1012;938,357;930,1742;933,8661;;
2014-11-03;934,1071;939,6382;932,5862;933,0265;;
2014-10-31;958,328;960,404;927,4832;936,6337;;
2014-10-30;961,6288;964,9627;949,4523;952,679;;
2014-10-29;964,4971;966,138;948,7948;950,7655;;
2014-10-28;961,7587;968,9598;959,0995;963,6374;;
2014-10-27;970,9283;970,9283;970,9283;970,9244;;
2014-10-24;974,6741;974,8637;970,9061;972,4584;;
2014-10-23;980,3852;982,4769;968,198;972,9576;;
2014-10-22;983,8179;984,7081;977,3891;977,8854;;
2014-10-21;976,6573;983,5762;975,952;979,0393;;
2014-10-20;967,3217;977,5855;967,2982;976,2155;;
2014-10-17;966,178;968,4005;960,7424;965,6477;;
2014-10-16;973,5273;976,7197;969,4407;971,8174;;
2014-10-15;973,1486;986,5861;964,8508;979,9069;;
2014-10-14;977,9851;978,8708;973,5173;973,7229;;
2014-10-13;970,0055;975,976;966,3065;975,5659;;
2014-10-10;968,1595;969,6154;963,3961;967,938;;
2014-10-09;957,0164;966,2383;955,183;959,3395;;
2014-10-08;955,9826;968,1613;953,0724;966,0261;;
2014-10-07;957,4443;962,1718;954,2794;958,7769;;
2014-10-06;943,5495;962,1488;943,5177;960,7083;;
2014-10-03;962,3653;963,4115;943,3656;944,4911;;
2014-10-02;960,5653;967,5085;957,0026;961,3649;;
2014-10-01;958,7797;967,4601;955,9946;962,6121;;
2014-09-30;965,7395;969,5859;957,4505;960,693;;
2014-09-29;959,0426;963,2155;956,6176;956,8223;;
2014-09-26;959,0009;966,4075;952,3327;956,8764;;
2014-09-25;957,3317;963,2709;949,646;961,2649;;
2014-09-24;953,1732;955,7539;947,9495;948,7837;;
2014-09-23;942,0881;957,811;941,9407;948,4486;;
2014-09-22;947,5983;950,0506;940,9654;945,6443;;
2014-09-19;953,3925;955,9524;944,5612;946,164;;
2014-09-18;949,8524;953,8922;944,8104;951,8801;;
2014-09-17;953,1723;956,6996;942,8527;944,1649;;
2014-09-16;951,6411;959,2015;951,3167;953,9656;;
2014-09-15;951,3671;959,1356;951,3438;955,0151;;
2014-09-12;959,1834;960,2196;949,4316;950,87;;
2014-09-11;966,298;967,0792;955,7704;959,6148;;
2014-09-10;971,1347;972,8595;962,2013;966,3702;;
2014-09-09;973,911;975,2286;967,0439;973,508;;
2014-09-08;979,0917;982,3357;966,6718;969,9545;;
2014-09-05;974,0423;983,704;971,0843;979,9389;;
2014-09-04;975,1287;981,3139;968,6592;969,0665;;
2014-09-03;962,6796;966,801;959,2046;965,379;;
2014-09-02;982,1655;982,1655;962,9127;965,223;;
2014-09-01;979,5477;982,266;978,4132;979,3954;;
2014-08-29;977,6994;979,1098;973,4607;976,0957;;
2014-08-28;973,2736;983,8291;973,1446;978,3503;;
2014-08-27;971,7538;976,975;971,6476;973,4917;;
2014-08-26;967,6243;978,5476;966,8966;970,7626;;
2014-08-25;968,3939;970,3636;962,1136;967,0455;;
2014-08-22;962,9909;966,9782;960,7296;965,5234;;
2014-08-21;973,4354;973,6088;960,2775;962,5622;;
2014-08-20;975,6549;976,9874;969,738;972,3578;;
2014-08-19;972,1282;975,161;969,1403;970,024;;
2014-08-18;971,2023;974,0268;968,1686;969,4015;;
2014-08-15;980,1837;982,3349;965,7828;974,5033;;
2014-08-14;981,3804;986,3157;978,7632;981,6571;;
2014-08-13;979,4386;984,3039;976,8787;982,6646;;
2014-08-12;980,2263;987,4045;978,4355;980,6609;;
2014-08-11;977,8425;979,6354;975,1158;977,3495;;
2014-08-08;981,0128;987,9594;975,6573;978,3537;;
2014-08-07;976,6607;983,0865;974,1023;982,2711;;
2014-08-06;965,2754;981,2214;964,9307;978,4039;;
2014-08-05;962,7036;966,8136;958,6161;963,1221;;
2014-08-04;963,6567;965,1989;958,3073;959,8495;;
2014-08-01;970,4517;970,4517;970,4517;970,4517;;
2014-07-31;971,6122;971,6122;971,6122;971,6123;;
2014-07-29;970,9882;977,005;965,2915;967,25;;
2014-07-28;971,503;974,6818;968,9124;971,0117;;
2014-07-25;962,9911;973,564;960,6027;972,8609;;
2014-07-24;968,0523;968,8242;956,0644;960,377;;
2014-07-23;971,2291;973,7096;967,8871;968,6743;;
2014-07-22;972,91;975,9736;965,8779;969,8835;;
2014-07-21;968,7084;975,2774;967,1993;970,6688;;
2014-07-18;975,1275;979,4307;964,6506;969,0721;;
2014-07-17;960,4362;978,7135;959,512;974,7504;;
2014-07-16;955,838;963,4718;955,838;960,5564;;
2014-07-15;961,1107;965,0922;949,438;950,4444;;
2014-07-14;982,087;982,2925;956,5568;959,3821;;
2014-07-11;982,1846;985,0975;981,096;984,487;;
2014-07-10;973,9782;988,768;973,7798;981,5128;;
2014-07-09;970,0434;979,3869;968,9995;975,5127;;
2014-07-08;971,4107;974,9283;966,6936;971,109;;
2014-07-07;971,7554;971,7996;965,3914;971,2331;;
2014-07-04;971,8649;973,8151;970,5917;971,8134;;
2014-07-03;972,4828;972,8785;960,3327;967,0965;;
2014-07-02;971,1409;975,3076;967,9921;971,778;;
2014-07-01;968,9363;973,4074;967,2049;969,0386;;
2014-06-30;964,087;973,1439;959,7379;971,7748;;
2014-06-27;966,9163;970,859;964,0822;966,2592;;
2014-06-26;968,6241;970,0941;960,2014;968,0361;;
2014-06-25;967,9324;973,1252;962,769;968,6082;;
2014-06-24;967,5136;973,6892;964,8994;968,1818;;
2014-06-23;965,6443;969,8147;963,5775;969,241;;
2014-06-20;971,0185;972,9467;961,9812;967,5081;;
2014-06-19;938,3994;970,3157;936,9163;969,6476;;
2014-06-18;937,7645;942,7487;933,761;942,2399;;
2014-06-17;937,242;938,4876;928,1471;937,3231;;
2014-06-16;945,6326;949,5862;939,1516;939,8463;;
2014-06-13;940,7492;944,2958;939,0941;943,8156;;
2014-06-12;932,2073;942,4009;931,4089;941,4621;;
2014-06-11;929,955;933,8747;928,5524;930,6932;;
2014-06-10;924,2341;932,6345;923,1047;930,2945;;
2014-06-09;920,2748;923,7728;919,7898;920,0323;;
2014-06-06;918,9562;921,8443;913,5024;918,5933;;
2014-06-05;916,9087;926,5276;915,0144;924,4453;;
2014-06-04;913,7594;916,4526;912,145;912,699;;
2014-06-03;911,6819;914,4595;909,498;912,3048;;
2014-06-02;916,2442;918,5879;911,9168;913,5552;;
2014-05-30;922,9514;926,3688;913,0962;918,4134;;
2014-05-29;924,5592;925,9771;919,4828;922,3332;;
2014-05-28;929,2255;931,2022;923,0967;925,00;;
2014-05-27;947,6976;948,4235;926,5655;926,5875;;
2014-05-26;947,5688;949,1676;947,026;948,1775;;
2014-05-23;949,0169;950,5576;944,6148;948,4043;;
2014-05-22;945,3761;953,7167;944,1176;946,4955;;
2014-05-21;946,2343;947,8502;938,8052;944,6914;;
2014-05-20;943,5922;946,4896;938,6513;944,5994;;
2014-05-19;942,3551;951,79;942,027;942,4936;;
2014-05-16;946,8239;947,8972;940,479;944,4217;;
2014-05-15;955,6117;956,9954;945,1936;949,1325;;
2014-05-14;943,283;954,0564;941,5555;951,651;;
2014-05-13;945,6834;947,7779;940,7867;944,5377;;
2014-05-12;933,8031;947,1922;933,4181;941,4457;;
2014-05-09;935,919;939,2134;932,8931;935,226;;
2014-05-08;924,3174;928,1015;921,6083;924,2959;;
2014-05-07;939,1613;943,9075;923,9032;926,0717;;
2014-05-06;939,3474;942,3736;935,4751;937,7913;;
2014-05-05;939,8804;948,3206;939,8804;943,8879;;
2014-05-02;926,9153;941,0908;919,9971;937,4657;;
2014-04-30;935,5596;936,917;927,8989;932,3754;;
2014-04-29;937,2993;940,894;930,5656;937,2414;;
2014-04-28;940,1414;942,616;932,256;935,1417;;
2014-04-25;935,5795;943,6556;933,1212;942,3108;;
2014-04-24;928,9436;939,3054;918,1114;936,1215;;
2014-04-23;928,1408;931,6394;926,0301;928,148;;
2014-04-22;933,7845;935,6011;924,7955;928,9571;;
2014-04-17;939,899;941,292;933,4681;934,6806;;
2014-04-16;941,3439;944,4798;934,8338;941,0188;;
2014-04-15;961,1461;962,3415;933,0435;943,6354;;
2014-04-14;958,581;962,7179;954,2272;959,5755;;
2014-04-11;949,8919;954,3397;947,4697;950,4254;;
2014-04-10;946,1311;955,2318;945,3595;950,5589;;
2014-04-09;948,4921;953,3638;943,2434;951,2506;;
2014-04-08;941,5057;954,2471;941,5057;949,8911;;
2014-04-07;949,8652;950,3899;944,2469;945,0339;;
2014-04-04;939,2336;953,8467;937,5182;951,3176;;
2014-04-03;937,0924;939,6195;930,8184;934,2604;;
2014-04-02;927,4302;938,3907;926,93;935,0344;;
2014-04-01;931,8564;934,0682;926,6788;927,3531;;
2014-03-31;940,7238;941,6159;930,2582;931,3171;;
2014-03-28;939,2107;943,9785;934,5229;941,4601;;
2014-03-27;948,4082;949,8692;937,1202;939,766;;
2014-03-26;950,3082;954,5428;941,8389;946,4143;;
2014-03-25;949,5105;955,3702;947,3203;950,6962;;
2014-03-24;968,8035;968,8035;968,8035;968,7999;;
2014-03-21;965,4862;974,2453;964,6952;968,3781;;
2014-03-20;964,54;969,7791;959,7297;967,5664;;
2014-03-19;975,2102;977,309;954,5174;955,0097;;
2014-03-18;982,7291;983,7721;971,7019;975,4891;;
2014-03-17;994,7936;994,7936;994,7936;994,7936;;
2014-03-14;987,7485;999,4094;985,35;996,3699;;
2014-03-13;980,0459;986,20;978,7907;983,2951;;
2014-03-12;971,3401;987,2111;968,935;984,5179;;
2014-03-11;967,5523;976,491;966,0866;974,2058;;
2014-03-10;965,3339;965,3339;965,3339;965,3339;;
2014-03-07;972,1319;973,6649;956,967;964,4307;;
2014-03-06;972,6155;984,7508;968,5777;982,561;;
2014-03-05;971,8905;977,192;970,587;973,4853;;
2014-03-04;980,3385;982,423;967,0758;969,0659;;
2014-03-03;963,4587;963,4587;963,4587;963,4587;;
2014-02-28;963,8167;965,3225;955,5853;960,32;;
2014-02-27;973,7112;978,493;969,6544;974,2311;;
2014-02-26;976,927;980,2419;963,8205;968,7236;;
2014-02-25;971,4701;976,9594;968,1256;975,3162;;
2014-02-24;961,8056;974,8963;961,1795;971,9694;;
2014-02-21;965,1784;969,2201;960,356;966,1524;;
2014-02-20;956,7853;966,7883;954,1879;966,1827;;
2014-02-19;961,9571;962,4882;952,4191;953,9833;;
2014-02-18;967,8392;970,2716;956,0702;963,8118;;
2014-02-17;962,6323;962,6323;962,6323;962,6359;;
2014-02-14;950,0109;963,7703;948,5445;962,0741;;
2014-02-13;943,8611;952,8556;940,6728;952,5997;;
2014-02-12;950,6373;955,0873;946,1062;951,6172;;
2014-02-11;932,0342;946,0588;931,4493;944,2234;;
2014-02-10;929,3151;929,3151;929,3151;929,3115;;
2014-02-07;926,6097;936,9014;925,5636;933,3689;;
2014-02-06;931,9674;938,7255;928,581;931,7599;;
2014-02-05;926,5008;941,0027;925,0388;928,6716;;
2014-02-04;930,5348;932,6947;922,7828;927,9607;;
2014-02-03;921,9218;921,9218;921,9218;921,9181;;
2014-01-31;920,5534;928,5735;916,425;920,6903;;
2014-01-30;933,9546;934,0504;912,244;916,0675;;
2014-01-29;922,2149;933,4289;918,1364;931,7901;;
2014-01-28;919,9355;924,1043;915,415;917,7522;;
2014-01-27;929,9971;929,9971;929,9971;929,9935;;
2014-01-24;923,2922;929,8531;918,5066;928,023;;
2014-01-23;906,1148;927,832;903,1601;926,9705;;
2014-01-22;914,8312;916,792;911,1824;911,7352;;
2014-01-21;927,4434;928,4933;913,8474;917,8767;;
2014-01-20;924,4361;924,4361;924,4361;924,4398;;
2014-01-17;914,5981;923,8663;911,3737;923,2148;;
2014-01-16;913,5545;915,5696;909,48;913,8633;;
2014-01-15;914,9566;915,1845;907,3717;912,6341;;
2014-01-14;916,8728;918,2557;908,7071;910,8436;;
2014-01-13;914,1643;914,1643;914,1643;914,1643;;
2014-01-10;903,6137;919,158;903,5107;918,6722;;
2014-01-09;900,742;904,6503;898,9421;901,8881;;
2014-01-08;905,7967;906,6721;896,6676;901,8906;;
2014-01-07;908,0566;912,9316;898,138;903,1669;;
2014-01-06;909,2486;909,2486;909,2486;909,245;;
2014-01-03;896,6261;909,7404;896,4354;907,1109;;
2014-01-02;894,7284;901,0983;889,6983;895,4166;;
2013-12-31;868,639;880,8571;857,6898;874,8532;;
2013-12-30;880,1857;880,1857;880,1857;880,1857;;
2013-12-27;877,1898;882,4164;875,2859;878,2105;;
2013-12-24;875,9573;879,3408;874,4227;879,308;;
2013-12-23;878,1638;878,1638;878,1638;878,1601;;
2013-12-20;871,4903;884,3793;870,7506;881,1827;;
2013-12-19;890,8173;897,5123;868,8447;869,3203;;
2013-12-18;895,556;905,244;884,7116;886,3263;;
2013-12-17;902,1674;907,8115;892,9959;895,6215;;
2013-12-16;897,7207;908,5947;891,3763;899,6298;;
2013-12-13;892,8681;902,5133;889,3713;902,4914;;
2013-12-12;909,4664;912,4719;888,951;889,4156;;
2013-12-11;916,3725;917,5419;908,9054;909,6027;;
2013-12-10;901,8255;921,9564;900,4364;917,6945;;
2013-12-09;895,8461;895,8461;895,8461;895,8461;;
2013-12-06;897,2476;909,8163;888,6026;899,8463;;
2013-12-05;914,7344;914,7344;895,498;901,2358;;
2013-12-04;900,4194;920,696;891,6863;914,6925;;
2013-12-03;898,8069;902,8797;895,7431;901,554;;
2013-12-02;925,7535;925,7535;925,7535;925,7572;;
2013-11-29;913,7462;921,9381;911,7846;920,6561;;
2013-11-28;910,565;916,6201;908,6816;915,7666;;
2013-11-27;913,6143;922,742;909,4881;910,2015;;
2013-11-26;922,935;928,8108;915,1916;916,9779;;
