Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-30;1.279,02;1.284,28;1.275,31;1.282,69;;
2019-07-29;1.278,33;1.284,38;1.274,66;1.283,27;;
2019-07-26;1.270,33;1.278,92;1.269,47;1.273,45;;
2019-07-25;1.282,53;1.289,77;1.269,91;1.272,39;;
2019-07-24;1.272,53;1.283,14;1.271,62;1.279,7;;
2019-07-23;1.275,68;1.278,8;1.266,26;1.268,76;;
2019-07-22;1.270,34;1.274,73;1.268,46;1.270,38;;
2019-07-19;1.289,68;1.293,83;1.266,31;1.269,7;;
2019-07-18;1.273,41;1.290,96;1.261,96;1.289,13;;
2019-07-17;1.254,19;1.272,13;1.249,03;1.271,65;;
2019-07-16;1.260,62;1.263,64;1.249,02;1.252,49;;
2019-07-15;1.255,98;1.257,59;1.249,56;1.254,72;;
2019-07-12;1.247,78;1.259,05;1.247,27;1.257,88;;
2019-07-11;1.257,54;1.263,59;1.242,82;1.244,07;;
2019-07-10;1.245,77;1.264,64;1.239,14;1.264,64;;
2019-07-09;1.245,27;1.249,47;1.237,89;1.247,34;;
2019-07-08;1.246,37;1.254,97;1.241,16;1.244,17;;
2019-07-05;1.257,95;1.264,2;1.232,31;1.242,34;;
2019-07-04;1.258,12;1.259,43;1.249,93;1.254,03;;
2019-07-03;1.257,27;1.271,67;1.251,15;1.256,03;;
2019-07-02;1.224,53;1.256,46;1.224,53;1.254,98;;
2019-07-01;1.230,45;1.230,45;1.218,27;1.219,8;;
2019-06-28;1.238,95;1.251,51;1.235,41;1.238,88;;
2019-06-27;1.239,7;1.241,69;1.230,37;1.240,08;;
2019-06-26;1.253,35;1.253,35;1.234,5;1.240,19;;
2019-06-25;1.246,23;1.263,06;1.240,66;1.250,04;;
2019-06-24;1.233,9;1.247,21;1.229,89;1.246,08;;
2019-06-21;1.226,97;1.246,99;1.222,21;1.236,31;;
2019-06-20;1.203,26;1.231,99;1.200,96;1.228,04;;
2019-06-19;1.201,49;1.215,72;1.197,02;1.213,89;;
2019-06-18;1.198;1.210,63;1.196,73;1.203,84;;
2019-06-17;1.192;1.195,62;1.186,78;1.192,61;;
2019-06-14;1.191,65;1.205,58;1.188,04;1.190,66;;
2019-06-13;1.181,94;1.189,68;1.180,55;1.188,8;;
2019-06-12;1.172,01;1.182,01;1.171,26;1.177,84;;
2019-06-11;1.173,15;1.174,77;1.166,11;1.172;;
2019-06-10;1.180,87;1.180,87;1.172,68;1.175,01;;
2019-06-07;1.184,65;1.195,95;1.180,17;1.189,39;;
2019-06-06;1.182,31;1.189,27;1.178,24;1.185,85;;
2019-06-05;1.177,4;1.193,84;1.176,7;1.181,92;;
2019-06-04;1.178,43;1.182,04;1.174,12;1.178,90;;
2019-06-03;1.170,02;1.187,13;1.170,02;1.184,57;;
2019-05-31;1.155,48;1.171,99;1.155,16;1.170,54;;
2019-05-30;1.149,46;1.157,97;1.145,25;1.157,15;;
2019-05-29;1.146,97;1.152,28;1.146,74;1.147,44;;
2019-05-28;1.148,6;1.149,58;1.140,36;1.143,17;;
2019-05-27;1.147,48;1.149,62;1.147,4;1.147,62;;
2019-05-24;1.147,34;1.148,88;1.145,05;1.148,57;;
2019-05-23;1.143,35;1.155,62;1.142,77;1.152,19;;
2019-05-22;1.141,08;1.143,29;1.139,19;1.139,92;;
2019-05-21;1.144,89;1.145,01;1.137,69;1.142,07;;
2019-05-20;1.144,56;1.145,33;1.141;1.144,08;;
2019-05-17;1.151,71;1.153,68;1.141,3;1.143,72;;
2019-05-16;1.157,33;1.159,24;1.146,71;1.148,4;;
2019-05-15;1.160,02;1.163,25;1.156,35;1.159,38;;
2019-05-14;1.158,23;1.161,02;1.152,62;1.155,19;;
2019-05-13;1.145,02;1.157,16;1.140,11;1.155,89;;
2019-05-10;1.143,66;1.148,1;1.142,84;1.145,13;;
2019-05-09;1.144,51;1.150,8;1.143,4;1.147,18;;
2019-05-08;1.146,59;1.152,92;1.142,47;1.143,52;;
2019-05-07;1.145,7;1.149,7;1.143,02;1.148,34;;
2019-05-06;1.146,1;1.146,59;1.140,46;1.143,52;;
2019-05-03;1.139,1;1.149,56;1.137,91;1.146,47;;
2019-05-02;1.138,91;1.139,84;1.129,67;1.133,44;;
2019-04-30;1.141,04;1.146,53;1.140,93;1.144,36;;
2019-04-29;1.152,68;1.153,95;1.146,44;1.147,85;;
2019-04-26;1.147,16;1.157,52;1.146,78;1.154,98;;
2019-04-25;1.147,12;1.152,93;1.144,91;1.148,2;;
2019-04-24;1.135,08;1.140,51;1.132,02;1.138,09;;
2019-04-23;1.134,26;1.135,16;1.126,32;1.131,5;;
2019-04-18;1.132,52;1.135,65;1.130,15;1.133,96;;
2019-04-17;1.129,88;1.132,4;1.126,81;1.127,31;;
2019-04-16;1.139,29;1.139,98;1.126,22;1.129,51;;
2019-04-15;1.140,59;1.140,59;1.133,83;1.138,45;;
2019-04-12;1.142,06;1.144,53;1.139,90;1.140,23;;
2019-04-11;1.161,36;1.162,35;1.145,29;1.147,59;;
2019-04-10;1.156,3;1.162,01;1.153,7;1.159,76;;
2019-04-09;1.150,88;1.158,31;1.149,86;1.156,55;;
2019-04-08;1.150,67;1.159,29;1.149,96;1.153,75;;
2019-04-05;1.150,81;1.151,59;1.143,68;1.149,83;;
2019-04-04;1.150,17;1.153,64;1.142,05;1.151,14;;
2019-04-03;1.149,55;1.151,35;1.146,19;1.146,52;;
2019-04-02;1.149,51;1.154,07;1.147,9;1.153,93;;
2019-04-01;1.149,69;1.154,31;1.145,35;1.146,32;;
2019-03-29;1.149,21;1.156,76;1.145,62;1.150,13;;
2019-03-28;1.167,46;1.169,8;1.148,82;1.150,82;;
2019-03-27;1.169,19;1.171,43;1.161,81;1.163,13;;
2019-03-26;1.170,98;1.172,02;1.162,76;1.165,65;;
2019-03-25;1.160,87;1.169,45;1.160,76;1.167,64;;
2019-03-22;1.158,38;1.163,41;1.156,37;1.161,95;;
2019-03-21;1.153,98;1.159,5;1.144,85;1.150,06;;
2019-03-20;1.150,93;1.159,8;1.144,24;1.157,4;;
2019-03-19;1.147,67;1.154,20;1.146,98;1.150,11;;
2019-03-18;1.144,9;1.151,45;1.144,3;1.148,6;;
2019-03-15;1.146,51;1.155,14;1.144,49;1.151,67;;
2019-03-14;1.159,63;1.160,11;1.144,98;1.147,92;;
2019-03-13;1.151,04;1.160,12;1.151,03;1.158,71;;
2019-03-12;1.146,8;1.154,87;1.146;1.153,88;;
2019-03-11;1.152,86;1.155,39;1.147,79;1.150,45;;
2019-03-08;1.146,2;1.158,98;1.145,37;1.156,94;;
2019-03-07;1.141,49;1.143,54;1.136,96;1.140,37;;
2019-03-06;1.139,20;1.141,81;1.135,59;1.137,67;;
2019-03-05;1.135,99;1.138,26;1.131,59;1.136,89;;
2019-03-04;1.143,54;1.144,13;1.131,93;1.134,95;;
2019-03-01;1.154,35;1.155,35;1.133,57;1.136,05;;
2019-02-28;1.156,18;1.162,45;1.149,96;1.150,32;;
2019-02-27;1.167,38;1.168,05;1.156,97;1.159,18;;
2019-02-26;1.168,48;1.170,86;1.165,12;1.169,78;;
2019-02-25;1.171,68;1.173,58;1.167,22;1.169,06;;
2019-02-22;1.168,81;1.177,02;1.167,2;1.172,45;;
2019-02-21;1.179,23;1.181,36;1.164,87;1.165,54;;
2019-02-20;1.181,76;1.187,43;1.178,89;1.180,23;;
2019-02-19;1.174,28;1.188,13;1.171,37;1.187,45;;
2019-02-18;1.169,49;1.171,97;1.166,5;1.170,78;;
2019-02-15;1.165,78;1.174,28;1.164,78;1.173,48;;
2019-02-14;1.159,04;1.166,28;1.156,63;1.164,85;;
2019-02-13;1.159,58;1.165,9;1.154,58;1.155,51;;
2019-02-12;1.158,04;1.163,86;1.156,77;1.159,57;;
2019-02-11;1.161,83;1.161,91;1.152,88;1.156,78;;
2019-02-08;1.154,88;1.159,52;1.152,83;1.158,1;;
2019-02-07;1.151,79;1.156,38;1.148,44;1.156,28;;
2019-02-06;1.154,08;1.154,82;1.146,11;1.146,61;;
2019-02-05;1.148,69;1.152,66;1.147,66;1.151,58;;
2019-02-04;1.149,04;1.149,52;1.143,52;1.146,37;;
2019-02-01;1.151,83;1.153,75;1.147,52;1.148,95;;
2019-01-31;1.149,64;1.154,44;1.146,97;1.150,26;;
2019-01-30;1.147,67;1.157,65;1.145,8;1.155,24;;
2019-01-29;1.141,13;1.148,67;1.140,63;1.148,37;;
2019-01-28;1.140,06;1.142,26;1.136,87;1.141,44;;
2019-01-25;1.128,96;1.148,98;1.128,21;1.148,53;;
2019-01-24;1.131,14;1.132,9;1.125,91;1.129,66;;
2019-01-23;1.130,42;1.131,78;1.125,18;1.128,47;;
2019-01-22;1.127,55;1.132,23;1.125,22;1.131,95;;
2019-01-21;1.129,18;1.129,63;1.123,83;1.126,77;;
2019-01-18;1.133,44;1.133,61;1.123,29;1.123,8;;
2019-01-17;1.135,52;1.136,52;1.131;1.133,82;;
2019-01-16;1.132,42;1.137,01;1.130,93;1.135,79;;
2019-01-15;1.130,95;1.133,29;1.126,79;1.128,68;;
2019-01-14;1.127,12;1.130,04;1.123,93;1.126,43;;
2019-01-11;1.115,95;1.123,03;1.115,77;1.116,58;;
2019-01-10;1.121,41;1.124,49;1.115,11;1.115,35;;
2019-01-09;1.121,86;1.129,51;1.117,70;1.129,04;;
2019-01-08;1.126,81;1.127,74;1.118,8;1.123,51;;
2019-01-07;1.126,25;1.131,52;1.123,93;1.126,47;;
2019-01-04;1.134,82;1.138,55;1.119,91;1.126,84;;
2019-01-03;1.134,37;1.140,77;1.132,46;1.140,46;;
2019-01-02;1.127,73;1.130,68;1.122,15;1.127,05;;
2018-12-31;1.116,68;1.121,5;1.115,77;1.117,97;;
2018-12-28;1.113,45;1.119,14;1.112,63;1.118,16;;
2018-12-27;1.113,57;1.123,99;1.113,44;1.121,24;;
2018-12-24;1.105,37;1.113,27;1.104,22;1.112,79;;
2018-12-21;1.103,85;1.106,28;1.098,71;1.100,23;;
2018-12-20;1.085,68;1.105,84;1.085,42;1.100,14;;
2018-12-19;1.095,9;1.103,07;1.088,91;1.090,22;;
2018-12-18;1.095,27;1.098,99;1.094,45;1.098,37;;
2018-12-17;1.091,58;1.100,48;1.090,29;1.098,68;;
2018-12-14;1.100,59;1.101,49;1.092,8;1.097,25;;
2018-12-13;1.095,74;1.096,43;1.091,22;1.091,72;;
2018-12-12;1.095,69;1.099,15;1.094,89;1.097,92;;
2018-12-11;1.093,88;1.098,07;1.090,74;1.092,49;;
2018-12-10;1.093,74;1.094,23;1.086,95;1.089,19;;
2018-12-07;1.088,69;1.099,32;1.088,27;1.097,56;;
2018-12-06;1.090,13;1.096,28;1.087,97;1.090,48;;
2018-12-05;1.091,31;1.091,53;1.086,55;1.089,63;;
2018-12-04;1.079,09;1.088,36;1.078,68;1.085,56;;
2018-12-03;1.079,78;1.089,61;1.079,78;1.086,09;;
2018-11-30;1.077,87;1.078,87;1.071,24;1.075,63;;
2018-11-29;1.072,28;1.079,12;1.071,99;1.075,17;;
2018-11-28;1.076,74;1.086,23;1.073,46;1.082,07;;
2018-11-27;1.079,23;1.081,56;1.069,97;1.072,64;;
2018-11-26;1.076,91;1.080,69;1.075,27;1.075,71;;
2018-11-23;1.080,99;1.082,19;1.075,27;1.077,45;;
2018-11-22;1.075,12;1.077,87;1.074,31;1.076,46;;
2018-11-21;1.070,91;1.077,98;1.069,24;1.074,61;;
2018-11-20;1.071,89;1.075,89;1.068,39;1.069,65;;
